epoch	loss	acc	lr
2	tensor(3.3929, device='cuda:0')	tensor(0.1310, device='cuda:0')	0.1
3	tensor(3.2322, device='cuda:0')	tensor(0.1629, device='cuda:0')	0.1
4	tensor(3.0107, device='cuda:0')	tensor(0.2031, device='cuda:0')	0.1
5	tensor(2.8511, device='cuda:0')	tensor(0.2295, device='cuda:0')	0.1
6	tensor(2.7445, device='cuda:0')	tensor(0.2559, device='cuda:0')	0.1
7	tensor(2.6488, device='cuda:0')	tensor(0.2757, device='cuda:0')	0.1
8	tensor(2.5366, device='cuda:0')	tensor(0.3021, device='cuda:0')	0.1
9	tensor(2.4736, device='cuda:0')	tensor(0.3211, device='cuda:0')	0.1
10	tensor(2.4083, device='cuda:0')	tensor(0.3403, device='cuda:0')	0.1
11	tensor(2.3099, device='cuda:0')	tensor(0.3521, device='cuda:0')	0.1
12	tensor(2.2486, device='cuda:0')	tensor(0.3742, device='cuda:0')	0.1
13	tensor(2.1407, device='cuda:0')	tensor(0.4053, device='cuda:0')	0.1
14	tensor(2.1289, device='cuda:0')	tensor(0.4087, device='cuda:0')	0.1
15	tensor(2.0293, device='cuda:0')	tensor(0.4245, device='cuda:0')	0.1
16	tensor(1.9975, device='cuda:0')	tensor(0.4380, device='cuda:0')	0.1
17	tensor(1.9491, device='cuda:0')	tensor(0.4551, device='cuda:0')	0.1
18	tensor(1.8643, device='cuda:0')	tensor(0.4725, device='cuda:0')	0.1
19	tensor(1.8586, device='cuda:0')	tensor(0.4733, device='cuda:0')	0.1
20	tensor(1.8053, device='cuda:0')	tensor(0.4882, device='cuda:0')	0.1
21	tensor(1.9044, device='cuda:0')	tensor(0.4682, device='cuda:0')	0.1
22	tensor(1.8245, device='cuda:0')	tensor(0.4899, device='cuda:0')	0.1
23	tensor(1.7428, device='cuda:0')	tensor(0.4983, device='cuda:0')	0.1
24	tensor(1.7134, device='cuda:0')	tensor(0.5054, device='cuda:0')	0.1
25	tensor(1.6990, device='cuda:0')	tensor(0.5222, device='cuda:0')	0.1
26	tensor(1.7329, device='cuda:0')	tensor(0.5087, device='cuda:0')	0.1
27	tensor(1.6956, device='cuda:0')	tensor(0.5199, device='cuda:0')	0.1
28	tensor(1.6964, device='cuda:0')	tensor(0.5154, device='cuda:0')	0.1
29	tensor(1.6682, device='cuda:0')	tensor(0.5277, device='cuda:0')	0.1
30	tensor(1.6158, device='cuda:0')	tensor(0.5387, device='cuda:0')	0.1
31	tensor(1.6167, device='cuda:0')	tensor(0.5424, device='cuda:0')	0.1
32	tensor(1.1967, device='cuda:0')	tensor(0.6683, device='cuda:0')	0.010000000000000002
33	tensor(1.0573, device='cuda:0')	tensor(0.7077, device='cuda:0')	0.010000000000000002
34	tensor(0.9901, device='cuda:0')	tensor(0.7237, device='cuda:0')	0.010000000000000002
35	tensor(0.9374, device='cuda:0')	tensor(0.7388, device='cuda:0')	0.010000000000000002
36	tensor(0.9198, device='cuda:0')	tensor(0.7417, device='cuda:0')	0.010000000000000002
37	tensor(0.9280, device='cuda:0')	tensor(0.7317, device='cuda:0')	0.010000000000000002
38	tensor(0.8638, device='cuda:0')	tensor(0.7576, device='cuda:0')	0.010000000000000002
39	tensor(0.8401, device='cuda:0')	tensor(0.7668, device='cuda:0')	0.010000000000000002
40	tensor(0.8158, device='cuda:0')	tensor(0.7662, device='cuda:0')	0.010000000000000002
